productType,variantId,name,sku,images,categories,prices,description,brand
Headphones,1,Sennheiser HD 660 S,Sennheiser-HD-660-S,https://c.dns-shop.ru/thumb/st1/fit/500/500/8f1962e03fc23979d6acecf22a491240/ce5342b0071779ed5d64fd123405fc1bc62155efd67220eb79ba6099a2ef73b9.jpg.webp;https://c.dns-shop.ru/thumb/st1/fit/500/500/4c22e7229274fdcf6fc59965b239f444/01b984c4b30bd44d75442ae35faa29408b5b7b5eb22fd7019b5f1b74e636ba50.jpg.webp,Headphones,EUR 47000,"The Sennheiser HD 660 S wired headphones in black are characterised by the highest sound quality and functional design. The soft headband allows you to stay in them for a long time without discomfort. The oval microfibre ear cushions fit snugly and gently against your ears without letting in extraneous sounds. The open acoustic design provides the most natural sound possible. The reproducible frequency range ranges from 10-41000 Hz.
Wired headphones Sennheiser HD 660 S are complemented by two detachable cables with different plugs and adapter (Pentaconn 4.4 mm, jack 3.5 mm, jack 6.3 mm), which will allow you to connect the headphones to any playback devices. The cables are made of oxygen-free copper and the plugs are covered with a layer of gold plating, which ensures high signal quality. The case included with the headphones is designed for convenient and safe transport.",Sennheiser
Keyboards,1,Dark Project KD83A,Dark-Project-KD83A,https://c.dns-shop.ru/thumb/st4/fit/500/500/8eda275e0dc4bdb4bd96432f13a465fb/373cf6904326e367afadea0ca096bd44433c269469af0ec69e7d51f54538a01e.jpg.webp;https://c.dns-shop.ru/thumb/st1/fit/500/500/4547c41bb01e5e05ffe81807fadf4460/25a91d066e509a8b58ae21e935b74bb74575f0571d66c82839874520e697335e.jpg.webp,Keyboards,EUR 9800,"The Dark Project KD83A keyboard fits into a compact form factor. It is equipped with 83 keys and is based on G3ms Sapphire mechanical switches, which are characterised by high per-touch sensitivity and precision. RGB LED backlighting illuminates the keys at night and contributes to the most comfortable immersion in the gaming world. The keyboard connects to your PC using a USB cable. Other features of the Dark Project KD83A include programmable keys and adjustable feet.",Dark Project
Keyboards,1,Logitech K120,Logitech-K120,https://c.dns-shop.ru/thumb/st4/fit/500/500/cf56ae818f42386435050a830c6a7a7a/06850df4cce046ca19ee960cbd125c7a05b894d75ed0c5a518f92c0392900923.jpg.webp;https://c.dns-shop.ru/thumb/st1/fit/500/500/6926149a0af16607fbe5a705827864da/fb2ebc4019a775178d0be285740a91f8085dd398f5da6421334c1f04a81087b4.jpg.webp,Keyboards,EUR 1500,"The Logitech K120 Wired Keyboard is a comfortable and reliable working keyboard with a classic design.The full-size layout with a separate number pad makes it easy to work with numbers, and the deep-profile keys make it easy to type quickly.The device connects via a 1.5m USB cable without requiring any software installation or setup.
The Logitech K120 is compatible with various versions of Windows, making it easy to use and work smoothly on a variety of devices.The plastic case is splash and spill-proof, with comfortable angled feet. The membrane keys withstand up to 10 million keystrokes and press quietly and smoothly without annoying you or others.",Logitech
Mouses,1,ARDOR GAMING Phantom PRO,ARDOR-GAMING-Phantom-PRO,https://c.dns-shop.ru/thumb/st1/fit/500/500/e4d8e0b4aa1dc1c3449b0a705539b0bf/804e8b3807f885e6a3fe9ac95097304042321416e79e01bd906995e0950a76e7.jpg.webp;https://c.dns-shop.ru/thumb/st4/fit/500/500/c38add7dc9da1c3f16ccbdf338ff0843/679ee6b86ac36ab649e4c529773fa69310f806d6ed76f7a9e3ce506a65d7b115.jpg.webp,Mouses,EUR 5500,"The ARDOR GAMING Phantom PRO wireless/wired mouse will benefit gaming enthusiasts. The devices PixArt PAW3395 optical LED sensor provides a resolution of up to 26000 dpi. The high accuracy of the cursor positioning helps to achieve success in dynamic video games. The sensor resolution can be changed. The sensor polling frequency can also be changed (the maximum value of this indicator is typically 1000 Hz).
Wireless/wired mouse ARDOR GAMING Phantom PRO gives the user a choice of connection methods. The wireless connection is organised using an interference-resistant radio channel. The maximum radius of communication over the air is 10 m. Wired connection of the mouse is carried out using a 1.8-metre USB cable, protected from mechanical influences by a wear-resistant cloth braid.
The number of buttons included in the mouse equipment is 6. The device is designed for right hand grip. The mouse is decorated with multicolour backlighting. The colour of the device is black. This is a practical colour solution: any dirt on the dark background is hardly noticeable.",Logitech
Mouses,1,Logitech M90,Logitech-M90,https://c.dns-shop.ru/thumb/st4/fit/500/500/27a041e17dcc5e45f8bc987d13fdb212/aa623f6121b6e8466641ce29c39724c528b38f580cd0e987b15640db9b4ef2d9.jpg.webp;https://c.dns-shop.ru/thumb/st4/fit/500/500/095f2cedb7a87e7618bf82aaf0dd3637/8f19b072a726ce5e35748b9351110aed190168a128c1e78f8023b1a44b9cad30.jpg.webp,Mouses,EUR 1000,"The Logitech M90 Wired Mouse can benefit desktop and mobile computer owners. Equipped with 3 buttons, it has a symmetrical body that provides a comfortable grip for both right and left-handed users. The ribbed scroll wheel ensures comfortable work with documents and web pages. A 1000 dpi optical LED sensor ensures accurate cursor positioning for efficient use of any typical programmes.
The Logitech M90 wired mouse uses a USB interface for connection. The length of the cable, equal to 180 cm, is sufficient for comfortable connection to a PC in the vast majority of cases. The material of the manipulator body is durable and pleasant to the touch matte plastic. The mouse has a practical black colour. Any dirt on the dark background is not too noticeable. Among the advantages of the mouse is compactness and lightness. The device has dimensions 62x38x113 mm and weight 56 g.",Logitech





